date,Bull Ranch,time,goring,injury,firstAid,pavement
7/7/80,Conde de la Corte,4.25,1,2,Not available,Dry
7/8/80,Cesar Moreno,3.25,NA,5,Not available,Dry
7/9/80,Fermin Bohorquez,6.43,2,3,Not available,Dry
7/10/80,Miura,3.46,NA,3,Not available,Wet
7/11/80,Dolores Aguirre,4.58,NA,NA,Not available,Wet
7/12/80,Marques de Domecq,2.58,NA,3,Not available,Dry
7/13/80,Guardiola Fantoni,10.55,4,4,Not available,Dry
7/14/80,Albaserrada,6.09,2,3,Not available,Dry
7/7/81,Pablo Romero,2.5,NA,8,Not available,Dry
7/8/81,Julio Aguirre,4.07,1,1,Not available,Dry
7/9/81,Fermin Bohorquez,4.58,2,NA,Not available,Dry
7/10/81,Conde de la Corte,4.24,1,4,Not available,Wet
7/11/81,Miura,3.44,NA,1,Not available,Dry
7/12/81,Albaserrada,5.38,NA,NA,Not available,Dry
7/13/81,Conde de la Maza,7,NA,1,Not available,Dry
7/14/81,Marques de Domecq,3.2,1,6,Not available,Dry
7/7/82,Conde de la Corte,3.41,1,4,Not available,Dry
7/8/82,Albaserrada,3.32,NA,1,Not available,Dry
7/9/82,Samuel Flores,3.04,2,NA,Not available,Dry
7/10/82,Barrera Hernandez,7.37,NA,3,Not available,Dry
7/11/82,Pablo Romero,2.28,1,1,Not available,Dry
7/12/82,Ortega Sanchez,3.57,1,8,Not available,Wet
7/13/82,Marques de Domecq,2.48,NA,NA,Not available,Dry
7/14/82,Miura,5.32,NA,5,Not available,Dry
7/7/83,Pablo Romero,2.5,NA,2,13,Dry
7/8/83,Julio Aguirre,3.5,3,3,35,Dry
7/9/83,Albaserrada,3.38,1,3,35,Dry
7/10/83,Miura,2.3,NA,4,Not available,Dry
7/11/83,Los Guateles,2.48,NA,4,27,Dry
7/12/83,Marques de Domecq,2.37,NA,4,40,Dry
7/13/83,Celestino Cuadri,3.5,NA,6,18,Dry
7/14/83,Jandilla,2.3,NA,6,46,Dry
7/7/84,Alonso Moreno,2.28,NA,4,32,Dry
7/8/84,Pablo Romero,2.48,NA,2,21,Dry
7/9/84,Guardiola Fantoni,3.1,NA,8,25,Dry
7/10/84,Osborne,5.2,2,NA,13,Dry
7/11/84,Fermin Bohorquez,2.46,NA,2,24,Dry
7/12/84,Marques de Domecq,3,NA,5,Not available,Dry
7/13/84,Martinez Uranga,2.51,NA,4,Not available,Dry
7/14/84,Miura,2.53,NA,6,Not available,Dry
7/7/85,Pablo Romero,3.12,1,5,32,Dry
7/8/85,Guardiola Fantoni,2.44,NA,1,9,Dry
7/9/85,Osborne,3.22,1,8,22,Dry
7/10/85,Fermin Bohorquez,2.42,NA,5,9,Dry
7/11/85,Marques de Domecq,7.24,4,7,Not available,Dry
7/12/85,Cebada Gago,3.1,NA,6,Not available,Dry
7/13/85,Barrera Hernandez,7.5,3,11,Not available,Dry
7/14/85,Miura,2.56,NA,4,32,Dry
7/7/86,Camacho Dominguez,2.35,NA,4,9,Dry
7/8/86,Guardiola Fantoni,4.08,NA,1,22,Dry
7/9/86,Osborne,4.41,NA,4,9,Dry
7/10/86,Cebada Gago,3.04,4,2,26,Dry
7/11/86,Fermin Bohorquez,2.29,NA,1,17,Dry
7/12/86,Marques de Domecq,7.58,2,4,Not available,Wet
7/13/86,Murteira,2.4,NA,4,Not available,Dry
7/14/86,Miura,2.33,NA,6,Not available,Dry
